======================================================================
Run 1/1  |  size=S  split=100%
Config : config/train_shakespeare_char_S.py
Out dir: out-shakespeare-S-split100
Log    : logs\train_S_split100.log
======================================================================
Command: C:\Code\_projects\nanoGPT-nlp\.venv\Scripts\python.exe train.py config/train_shakespeare_char_S.py --train_file=train_100.bin --out_dir=out-shakespeare-S-split100 --wandb_run_name=S-split100

C:\Code\_projects\nlp\nanoGPT\train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_S.py:
# Baseline configuration
out_dir = 'out-shakespeare-S'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False  # torch.compile needs Triton (Linux); on Windows leave False

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-S-split100
Overriding: wandb_run_name = S-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 827,520 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
iter 1850: loss 1.6737, time 22.09ms, mfu 2.43%
iter 1860: loss 1.6876, time 9.70ms, mfu 2.53%
iter 1870: loss 1.6642, time 22.70ms, mfu 2.42%
iter 1880: loss 1.6829, time 9.19ms, mfu 2.55%
iter 1890: loss 1.6851, time 9.22ms, mfu 2.65%
iter 1900: loss 1.6656, time 12.51ms, mfu 2.65%
iter 1910: loss 1.7002, time 9.39ms, mfu 2.74%
iter 1920: loss 1.6779, time 10.14ms, mfu 2.80%
iter 1930: loss 1.6760, time 12.90ms, mfu 2.78%
iter 1940: loss 1.6751, time 15.29ms, mfu 2.72%
iter 1950: loss 1.6564, time 12.69ms, mfu 2.71%
iter 1960: loss 1.6787, time 9.11ms, mfu 2.80%
iter 1970: loss 1.6320, time 19.67ms, mfu 2.69%
iter 1980: loss 1.6586, time 15.45ms, mfu 2.64%
iter 1990: loss 1.6478, time 9.43ms, mfu 2.73%
step 2000: train loss 1.5209, val loss 1.7163
saving checkpoint to out-shakespeare-S-split100
iter 2000: loss 1.6463, time 2723.35ms, mfu 2.46%
iter 2010: loss 1.6651, time 10.32ms, mfu 2.53%
iter 2020: loss 1.6684, time 15.31ms, mfu 2.50%
iter 2030: loss 1.6661, time 15.80ms, mfu 2.46%
iter 2040: loss 1.6513, time 9.67ms, mfu 2.56%
iter 2050: loss 1.6343, time 13.04ms, mfu 2.56%
iter 2060: loss 1.6348, time 10.11ms, mfu 2.63%
iter 2070: loss 1.6401, time 23.88ms, mfu 2.51%
iter 2080: loss 1.6516, time 9.51ms, mfu 2.61%
iter 2090: loss 1.6551, time 9.16ms, mfu 2.71%
iter 2100: loss 1.6433, time 22.97ms, mfu 2.59%
iter 2110: loss 1.6763, time 9.10ms, mfu 2.69%
iter 2120: loss 1.6581, time 20.01ms, mfu 2.59%
iter 2130: loss 1.6367, time 14.87ms, mfu 2.56%
iter 2140: loss 1.6465, time 9.33ms, mfu 2.66%
iter 2150: loss 1.6677, time 13.15ms, mfu 2.65%
iter 2160: loss 1.6392, time 9.63ms, mfu 2.73%
iter 2170: loss 1.6483, time 16.61ms, mfu 2.65%
iter 2180: loss 1.6117, time 26.91ms, mfu 2.51%
iter 2190: loss 1.6152, time 9.81ms, mfu 2.60%
iter 2200: loss 1.6224, time 15.32ms, mfu 2.56%
iter 2210: loss 1.6365, time 9.37ms, mfu 2.66%
iter 2220: loss 1.6499, time 15.32ms, mfu 2.61%
iter 2230: loss 1.6505, time 9.44ms, mfu 2.70%
iter 2240: loss 1.6489, time 20.40ms, mfu 2.60%
step 2250: train loss 1.4967, val loss 1.6824
saving checkpoint to out-shakespeare-S-split100
iter 2250: loss 1.6373, time 2933.21ms, mfu 2.34%
iter 2260: loss 1.6543, time 9.98ms, mfu 2.44%
iter 2270: loss 1.6641, time 21.61ms, mfu 2.35%
iter 2280: loss 1.6084, time 9.24ms, mfu 2.47%
iter 2290: loss 1.6161, time 9.30ms, mfu 2.59%
iter 2300: loss 1.6109, time 9.45ms, mfu 2.68%
iter 2310: loss 1.6128, time 19.40ms, mfu 2.58%
iter 2320: loss 1.6270, time 8.94ms, mfu 2.70%
iter 2330: loss 1.6374, time 9.97ms, mfu 2.76%
iter 2340: loss 1.6475, time 9.21ms, mfu 2.85%
iter 2350: loss 1.6214, time 15.48ms, mfu 2.78%
iter 2360: loss 1.6180, time 9.81ms, mfu 2.84%
iter 2370: loss 1.6101, time 25.81ms, mfu 2.69%
iter 2380: loss 1.6164, time 9.78ms, mfu 2.76%
iter 2390: loss 1.6130, time 24.66ms, mfu 2.62%
iter 2400: loss 1.6155, time 12.56ms, mfu 2.62%
iter 2410: loss 1.6074, time 9.72ms, mfu 2.70%
iter 2420: loss 1.6165, time 20.91ms, mfu 2.59%
iter 2430: loss 1.5836, time 24.94ms, mfu 2.47%
iter 2440: loss 1.5955, time 10.05ms, mfu 2.55%
iter 2450: loss 1.6269, time 21.31ms, mfu 2.45%
iter 2460: loss 1.6090, time 12.95ms, mfu 2.46%
iter 2470: loss 1.5835, time 9.30ms, mfu 2.58%
iter 2480: loss 1.6168, time 15.89ms, mfu 2.53%
iter 2490: loss 1.6115, time 9.21ms, mfu 2.64%
step 2500: train loss 1.4747, val loss 1.6654
saving checkpoint to out-shakespeare-S-split100
iter 2500: loss 1.6081, time 2737.60ms, mfu 2.37%
iter 2510: loss 1.6125, time 9.05ms, mfu 2.51%
iter 2520: loss 1.6214, time 22.86ms, mfu 2.40%
iter 2530: loss 1.6093, time 9.56ms, mfu 2.51%
iter 2540: loss 1.6008, time 21.61ms, mfu 2.41%
iter 2550: loss 1.6113, time 9.22ms, mfu 2.53%
iter 2560: loss 1.5976, time 22.06ms, mfu 2.43%
iter 2570: loss 1.6443, time 10.56ms, mfu 2.50%
iter 2580: loss 1.6244, time 22.57ms, mfu 2.40%
iter 2590: loss 1.5760, time 9.26ms, mfu 2.52%
iter 2600: loss 1.5978, time 22.65ms, mfu 2.42%
iter 2610: loss 1.5775, time 9.58ms, mfu 2.52%
iter 2620: loss 1.6169, time 19.60ms, mfu 2.44%
iter 2630: loss 1.5848, time 20.83ms, mfu 2.36%
iter 2640: loss 1.5786, time 22.25ms, mfu 2.27%
iter 2650: loss 1.5782, time 9.29ms, mfu 2.40%
iter 2660: loss 1.5817, time 11.24ms, mfu 2.46%
iter 2670: loss 1.5534, time 9.41ms, mfu 2.57%
iter 2680: loss 1.5569, time 16.17ms, mfu 2.52%
iter 2690: loss 1.6004, time 26.61ms, mfu 2.39%
iter 2700: loss 1.6087, time 15.97ms, mfu 2.36%
iter 2710: loss 1.5979, time 22.47ms, mfu 2.27%
iter 2720: loss 1.5691, time 12.67ms, mfu 2.31%
iter 2730: loss 1.5967, time 10.24ms, mfu 2.40%
iter 2740: loss 1.5589, time 22.44ms, mfu 2.31%
step 2750: train loss 1.4493, val loss 1.6467
saving checkpoint to out-shakespeare-S-split100
iter 2750: loss 1.6004, time 2755.97ms, mfu 2.08%
iter 2760: loss 1.5983, time 9.69ms, mfu 2.22%
iter 2770: loss 1.6067, time 9.37ms, mfu 2.35%
iter 2780: loss 1.5842, time 12.82ms, mfu 2.38%
iter 2790: loss 1.5869, time 8.96ms, mfu 2.51%
iter 2800: loss 1.5794, time 10.95ms, mfu 2.56%
iter 2810: loss 1.5733, time 16.12ms, mfu 2.51%
iter 2820: loss 1.5402, time 24.86ms, mfu 2.40%
iter 2830: loss 1.5763, time 10.04ms, mfu 2.49%
iter 2840: loss 1.5705, time 15.64ms, mfu 2.45%
iter 2850: loss 1.5459, time 11.81ms, mfu 2.49%
iter 2860: loss 1.5812, time 14.60ms, mfu 2.47%
iter 2870: loss 1.5649, time 22.86ms, mfu 2.37%
iter 2880: loss 1.5794, time 9.39ms, mfu 2.49%
iter 2890: loss 1.5869, time 21.14ms, mfu 2.40%
iter 2900: loss 1.5751, time 15.04ms, mfu 2.38%
iter 2910: loss 1.6054, time 9.91ms, mfu 2.48%
iter 2920: loss 1.5638, time 19.13ms, mfu 2.40%
iter 2930: loss 1.5892, time 10.29ms, mfu 2.49%
iter 2940: loss 1.6036, time 9.13ms, mfu 2.60%
iter 2950: loss 1.5850, time 20.99ms, mfu 2.50%
iter 2960: loss 1.5642, time 19.08ms, mfu 2.43%
iter 2970: loss 1.5694, time 11.14ms, mfu 2.48%
iter 2980: loss 1.5780, time 8.94ms, mfu 2.61%
iter 2990: loss 1.6128, time 18.85ms, mfu 2.52%
step 3000: train loss 1.4368, val loss 1.6322
saving checkpoint to out-shakespeare-S-split100
iter 3000: loss 1.5701, time 2748.59ms, mfu 2.27%
iter 3010: loss 1.5158, time 9.02ms, mfu 2.41%
iter 3020: loss 1.5696, time 9.14ms, mfu 2.54%
iter 3030: loss 1.6053, time 21.88ms, mfu 2.44%
iter 3040: loss 1.5625, time 18.55ms, mfu 2.37%
