======================================================================
Run 4/16  |  size=XS  split=100%
Config : config/train_shakespeare_char_XS.py
Out dir: out-shakespeare-XS-split100
Log    : logs/train_XS_split100.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_XS.py --train_file=train_100.bin --out_dir=out-shakespeare-XS-split100 --wandb_run_name=XS-split100

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_XS.py:
# Baseline configuration
out_dir = 'out-shakespeare-XS'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 2
n_embd = 64
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-XS-split100
Overriding: wandb_run_name = XS-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.10M
num decayed parameter tensors: 10, with 118,848 parameters
num non-decayed parameter tensors: 5, with 320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 1610: loss 2.3485, time 2.52ms, mfu 2.03%
iter 1620: loss 2.3374, time 2.53ms, mfu 2.03%
iter 1630: loss 2.3519, time 2.53ms, mfu 2.04%
iter 1640: loss 2.3229, time 2.54ms, mfu 2.04%
iter 1650: loss 2.3415, time 2.54ms, mfu 2.05%
iter 1660: loss 2.3191, time 2.51ms, mfu 2.05%
iter 1670: loss 2.3319, time 2.53ms, mfu 2.06%
iter 1680: loss 2.3245, time 2.54ms, mfu 2.06%
iter 1690: loss 2.3345, time 2.53ms, mfu 2.06%
iter 1700: loss 2.2964, time 2.55ms, mfu 2.07%
iter 1710: loss 2.3325, time 2.54ms, mfu 2.07%
iter 1720: loss 2.3088, time 2.53ms, mfu 2.07%
iter 1730: loss 2.3160, time 2.55ms, mfu 2.07%
iter 1740: loss 2.3110, time 2.52ms, mfu 2.08%
step 1750: train loss 2.1642, val loss 2.2176
saving checkpoint to out-shakespeare-XS-split100
iter 1750: loss 2.3110, time 565.75ms, mfu 1.87%
iter 1760: loss 2.3149, time 2.53ms, mfu 1.89%
iter 1770: loss 2.3347, time 2.53ms, mfu 1.91%
iter 1780: loss 2.3142, time 2.53ms, mfu 1.93%
iter 1790: loss 2.3246, time 2.52ms, mfu 1.95%
iter 1800: loss 2.3121, time 2.53ms, mfu 1.96%
iter 1810: loss 2.3117, time 2.54ms, mfu 1.98%
iter 1820: loss 2.3248, time 2.54ms, mfu 1.99%
iter 1830: loss 2.3071, time 2.79ms, mfu 1.98%
iter 1840: loss 2.3059, time 2.84ms, mfu 1.97%
iter 1850: loss 2.3001, time 2.86ms, mfu 1.96%
iter 1860: loss 2.3091, time 2.70ms, mfu 1.96%
iter 1870: loss 2.3128, time 2.90ms, mfu 1.94%
iter 1880: loss 2.3176, time 2.85ms, mfu 1.94%
iter 1890: loss 2.3292, time 2.80ms, mfu 1.93%
iter 1900: loss 2.2933, time 2.85ms, mfu 1.92%
iter 1910: loss 2.2958, time 2.87ms, mfu 1.92%
iter 1920: loss 2.2948, time 2.91ms, mfu 1.91%
iter 1930: loss 2.3071, time 2.93ms, mfu 1.90%
iter 1940: loss 2.2987, time 2.73ms, mfu 1.90%
iter 1950: loss 2.2882, time 2.92ms, mfu 1.89%
iter 1960: loss 2.2879, time 2.84ms, mfu 1.89%
iter 1970: loss 2.3057, time 2.89ms, mfu 1.88%
iter 1980: loss 2.2980, time 2.83ms, mfu 1.88%
iter 1990: loss 2.2787, time 2.91ms, mfu 1.88%
step 2000: train loss 2.1224, val loss 2.1886
saving checkpoint to out-shakespeare-XS-split100
iter 2000: loss 2.2683, time 564.60ms, mfu 1.69%
iter 2010: loss 2.2955, time 2.74ms, mfu 1.72%
iter 2020: loss 2.2682, time 2.76ms, mfu 1.74%
iter 2030: loss 2.2716, time 3.08ms, mfu 1.73%
iter 2040: loss 2.2844, time 2.64ms, mfu 1.76%
iter 2050: loss 2.2982, time 2.66ms, mfu 1.79%
iter 2060: loss 2.2805, time 2.62ms, mfu 1.81%
iter 2070: loss 2.3070, time 2.73ms, mfu 1.82%
iter 2080: loss 2.2893, time 2.76ms, mfu 1.83%
iter 2090: loss 2.2714, time 2.76ms, mfu 1.84%
iter 2100: loss 2.2917, time 2.72ms, mfu 1.85%
iter 2110: loss 2.2834, time 2.77ms, mfu 1.86%
iter 2120: loss 2.2579, time 2.74ms, mfu 1.87%
iter 2130: loss 2.2904, time 2.74ms, mfu 1.87%
iter 2140: loss 2.2359, time 2.72ms, mfu 1.88%
iter 2150: loss 2.2869, time 2.60ms, mfu 1.90%
iter 2160: loss 2.2751, time 2.73ms, mfu 1.90%
iter 2170: loss 2.2700, time 2.75ms, mfu 1.90%
iter 2180: loss 2.2717, time 2.75ms, mfu 1.91%
iter 2190: loss 2.2698, time 2.72ms, mfu 1.91%
iter 2200: loss 2.2759, time 2.64ms, mfu 1.92%
iter 2210: loss 2.2810, time 2.57ms, mfu 1.93%
iter 2220: loss 2.2595, time 2.73ms, mfu 1.94%
iter 2230: loss 2.2765, time 2.77ms, mfu 1.93%
iter 2240: loss 2.2709, time 2.70ms, mfu 1.94%
step 2250: train loss 2.0885, val loss 2.1643
saving checkpoint to out-shakespeare-XS-split100
iter 2250: loss 2.2571, time 567.29ms, mfu 1.74%
iter 2260: loss 2.2576, time 2.84ms, mfu 1.76%
iter 2270: loss 2.2683, time 2.73ms, mfu 1.77%
iter 2280: loss 2.2584, time 2.87ms, mfu 1.78%
iter 2290: loss 2.2473, time 2.87ms, mfu 1.79%
iter 2300: loss 2.2807, time 3.01ms, mfu 1.79%
iter 2310: loss 2.2711, time 2.72ms, mfu 1.80%
iter 2320: loss 2.2643, time 2.91ms, mfu 1.81%
iter 2330: loss 2.2808, time 2.84ms, mfu 1.81%
iter 2340: loss 2.3120, time 2.93ms, mfu 1.81%
iter 2350: loss 2.2580, time 2.86ms, mfu 1.82%
iter 2360: loss 2.2696, time 2.84ms, mfu 1.82%
