======================================================================
Run 1/1  |  size=M  split=100%
Config : config/train_shakespeare_char_M.py
Out dir: out-shakespeare-M-split100
Log    : logs\train_M_split100.log
======================================================================
Command: C:\Code\_projects\nanoGPT-nlp\.venv\Scripts\python.exe train.py config/train_shakespeare_char_M.py --train_file=train_100.bin --out_dir=out-shakespeare-M-split100 --wandb_run_name=M-split100

C:\Code\_projects\nlp\nanoGPT\train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_M.py:
# Baseline configuration
out_dir = 'out-shakespeare-M'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False  # torch.compile needs Triton (Linux); on Windows leave False

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-M-split100
Overriding: wandb_run_name = M-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 1020: loss 1.3123, time 92.36ms, mfu 3.72%
iter 1030: loss 1.3344, time 93.68ms, mfu 3.75%
iter 1040: loss 1.3616, time 93.36ms, mfu 3.77%
iter 1050: loss 1.2879, time 92.36ms, mfu 3.80%
iter 1060: loss 1.3349, time 80.11ms, mfu 3.88%
iter 1070: loss 1.3262, time 92.64ms, mfu 3.90%
iter 1080: loss 1.3339, time 93.69ms, mfu 3.91%
iter 1090: loss 1.3499, time 96.38ms, mfu 3.90%
iter 1100: loss 1.3111, time 94.56ms, mfu 3.91%
iter 1110: loss 1.3033, time 94.41ms, mfu 3.91%
iter 1120: loss 1.2969, time 93.40ms, mfu 3.92%
iter 1130: loss 1.2929, time 92.55ms, mfu 3.93%
iter 1140: loss 1.2972, time 93.30ms, mfu 3.94%
iter 1150: loss 1.3097, time 93.07ms, mfu 3.94%
iter 1160: loss 1.3324, time 94.01ms, mfu 3.94%
iter 1170: loss 1.2962, time 97.75ms, mfu 3.93%
iter 1180: loss 1.3176, time 94.08ms, mfu 3.93%
iter 1190: loss 1.2760, time 107.03ms, mfu 3.89%
iter 1200: loss 1.2866, time 93.44ms, mfu 3.90%
iter 1210: loss 1.2709, time 92.38ms, mfu 3.91%
iter 1220: loss 1.3005, time 95.56ms, mfu 3.91%
iter 1230: loss 1.2996, time 92.02ms, mfu 3.92%
iter 1240: loss 1.3046, time 92.80ms, mfu 3.93%
step 1250: train loss 1.2094, val loss 1.5026
saving checkpoint to out-shakespeare-M-split100
iter 1250: loss 1.2799, time 12062.10ms, mfu 3.54%
iter 1260: loss 1.2813, time 79.85ms, mfu 3.66%
iter 1270: loss 1.2624, time 93.40ms, mfu 3.69%
iter 1280: loss 1.2543, time 93.94ms, mfu 3.72%
iter 1290: loss 1.2861, time 93.41ms, mfu 3.74%
iter 1300: loss 1.3044, time 93.29ms, mfu 3.77%
iter 1310: loss 1.2365, time 106.20ms, mfu 3.74%
iter 1320: loss 1.3025, time 79.16ms, mfu 3.84%
iter 1330: loss 1.2621, time 93.66ms, mfu 3.85%
iter 1340: loss 1.2907, time 94.95ms, mfu 3.86%
iter 1350: loss 1.2594, time 92.81ms, mfu 3.88%
iter 1360: loss 1.2697, time 93.34ms, mfu 3.89%
iter 1370: loss 1.2568, time 93.61ms, mfu 3.90%
iter 1380: loss 1.2655, time 80.72ms, mfu 3.97%
iter 1390: loss 1.2491, time 93.43ms, mfu 3.97%
iter 1400: loss 1.2536, time 79.28ms, mfu 4.04%
iter 1410: loss 1.2474, time 93.07ms, mfu 4.04%
iter 1420: loss 1.2683, time 92.92ms, mfu 4.04%
iter 1430: loss 1.2448, time 94.33ms, mfu 4.03%
iter 1440: loss 1.2538, time 81.18ms, mfu 4.08%
iter 1450: loss 1.2305, time 80.28ms, mfu 4.14%
iter 1460: loss 1.2352, time 78.60ms, mfu 4.20%
iter 1470: loss 1.2231, time 92.57ms, mfu 4.18%
iter 1480: loss 1.2146, time 94.77ms, mfu 4.16%
iter 1490: loss 1.2369, time 93.89ms, mfu 4.14%
step 1500: train loss 1.1544, val loss 1.4762
saving checkpoint to out-shakespeare-M-split100
iter 1500: loss 1.1865, time 12003.20ms, mfu 3.73%
iter 1510: loss 1.2283, time 92.78ms, mfu 3.76%
iter 1520: loss 1.2259, time 80.56ms, mfu 3.84%
iter 1530: loss 1.2552, time 93.05ms, mfu 3.86%
iter 1540: loss 1.1891, time 93.99ms, mfu 3.87%
iter 1550: loss 1.2264, time 94.91ms, mfu 3.88%
iter 1560: loss 1.2026, time 95.65ms, mfu 3.88%
iter 1570: loss 1.2336, time 92.03ms, mfu 3.89%
iter 1580: loss 1.2116, time 95.71ms, mfu 3.89%
iter 1590: loss 1.1897, time 93.23ms, mfu 3.90%
